artist_id,name,genres
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop
7tYKF4w9nC0nq9CsPZTHyP,SZA,pop/r&b
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,rap
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,canadian contemporary r&b/canadian pop/pop
1URnnhqYAYcrqrcwql10ft,21 Savage,atl hip hop/rap
2wY79sveU1sp5g7SokKOiI,Sam Smith,dance pop/pop/uk pop
3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,dance pop/pop/post-teen pop/transpop
46pWGuE3dSwY3bMMXGBvVS,Rema,nigerian pop
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,dance pop/pop/post-teen pop
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,dance pop/hip pop/pop/post-teen pop
6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop
6vWDO969PvNqNYHIOW5v0m,Beyoncé,dance pop/pop/r&b
4SsVbpTthjScTS7U2hmr1X,Arcángel,latin hip hop/reggaeton/urbano latino
4q3ewBCX7sLwd24euuV69X,Bad Bunny,reggaeton/trap latino/urbano latino
164Uj4eKjl6zTBKfJLFKKK,JVKE,modern indie pop/pop
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,big room/dance pop/edm/pop/pop dance
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,dance pop/edm/pop/post-teen pop
3TVXtAsR1Inumwj472S9r4,Drake,canadian hip hop/canadian pop/hip hop/rap/toronto rap
246dkjvS1zLTtiykXe5h60,Post Malone,dfw rap/melodic rap/rap
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,dance pop/pop
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,r&b en espanol
4kYSro6naA4h99UJvo89HB,Cardi B,dance pop/pop/rap
5KKpBU5eC2tJDzf0wmlRp2,RAYE,dance pop/pop/pop dance/post-teen pop/uk contemporary r&b/uk pop
12Zk1DFhCbHY6v3xep2ZjI,070 Shake,new jersey rap
6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,alternative hip hop
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,dance pop/deep euro house/deep house/edm/german dance/pop/pop dance/pop rap/tropical house
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop
3Nrfpe0tUJi4K4DXYWgMUX,BTS,k-pop/k-pop boy group
5C01hDqpEmrmDfUhX9YWsH,FIFA Sound,
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,piano rock/pop
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,lgbtq+ hip hop/pop
5y8tKLUfMvliMe8IKamR32,d4vd,bedroom pop
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,dance pop/pop/r&b
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,colombian pop/reggaeton/reggaeton colombiano/urbano latino
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,modern rock/rock
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,oklahoma country
