id,name,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,200690,97,False,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),156943,100,False,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,4
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,225388,93,True,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,4
4LRPiXqCikLlN15c3yImP7,As It Was,167303,93,False,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),239317,92,False,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,239359,95,True,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,3
73vIOb4Q7YN6HeJTbscRx5,Miss You,206000,93,True,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,4
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),175238,97,True,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4
35ovElsgyAtQwYPYnZJECg,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,196519,90,False,0.247,0.299,9,-6.083,1,0.0315,0.899,0.0,0.131,0.172,177.115,4
0QHEIqNKsMoOY5urbzN48u,Made You Look,134256,92,False,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,4
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,148485,95,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
5ww2BF9slyYgNOk37BlC4u,La Bachata,162637,97,False,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4
5IgjP7X4th6nMNDh4akUHb,Under The Influence,184613,95,True,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,4
0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),192840,89,True,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,4
5odlY52u43F5BjByhxg7wg,golden hour,209259,88,False,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,3
