eps: 0.76, min_samples: 10, metric: euclidean, score: -0.4609036638245434, n_labels: 58, artist_density: 0.4576234788979438, album_density: 0.7427545832606731
eps: 0.77, min_samples: 10, metric: euclidean, score: -0.46391369118722825, n_labels: 65, artist_density: 0.47545142323457257, album_density: 0.7534088933792469
eps: 0.78, min_samples: 10, metric: euclidean, score: -0.45798166751023894, n_labels: 60, artist_density: 0.4513887427691664, album_density: 0.7204272736548832
eps: 0.79, min_samples: 10, metric: euclidean, score: -0.4568112573615191, n_labels: 54, artist_density: 0.4362534049563196, album_density: 0.7328073372014386
eps: 0.8, min_samples: 10, metric: euclidean, score: -0.44042425499781224, n_labels: 47, artist_density: 0.4679937406284937, album_density: 0.7493372334154249
eps: 0.81, min_samples: 10, metric: euclidean, score: -0.4380635409874648, n_labels: 50, artist_density: 0.449950531546991, album_density: 0.7551129466212062
eps: 0.8200000000000001, min_samples: 10, metric: euclidean, score: -0.43212605885280325, n_labels: 51, artist_density: 0.4776419913098175, album_density: 0.771541475114976
eps: 0.83, min_samples: 10, metric: euclidean, score: -0.44198231791560977, n_labels: 59, artist_density: 0.47808438046099644, album_density: 0.7679597308227392
eps: 0.84, min_samples: 10, metric: euclidean, score: -0.44376754419259284, n_labels: 59, artist_density: 0.4838645083895832, album_density: 0.7627043894701286
eps: 0.85, min_samples: 10, metric: euclidean, score: -0.4379943187041913, n_labels: 56, artist_density: 0.4834089151210077, album_density: 0.7537706116093543
eps: 0.86, min_samples: 10, metric: euclidean, score: -0.4290908240874309, n_labels: 56, artist_density: 0.4848678615846619, album_density: 0.7485225101958523
eps: 0.87, min_samples: 10, metric: euclidean, score: -0.41921807986624615, n_labels: 55, artist_density: 0.4756374478261769, album_density: 0.7290785304285715
eps: 0.88, min_samples: 10, metric: euclidean, score: -0.4138512678974173, n_labels: 54, artist_density: 0.47686923016240185, album_density: 0.7317573014342896
eps: 0.89, min_samples: 10, metric: euclidean, score: -0.3920703891124144, n_labels: 48, artist_density: 0.48652136660197653, album_density: 0.7537656413547742
eps: 0.9, min_samples: 10, metric: euclidean, score: -0.3780914180145706, n_labels: 51, artist_density: 0.5248237010089759, album_density: 0.7581958036539721
eps: 0.91, min_samples: 10, metric: euclidean, score: -0.37902351035297166, n_labels: 49, artist_density: 0.5165856601202228, album_density: 0.772345072265538
eps: 0.92, min_samples: 10, metric: euclidean, score: -0.39102122918117416, n_labels: 50, artist_density: 0.5147010801235353, album_density: 0.7701323508643505
eps: 0.9299999999999999, min_samples: 10, metric: euclidean, score: -0.38729080459981374, n_labels: 51, artist_density: 0.5135696894073252, album_density: 0.7747576685567058
eps: 0.94, min_samples: 10, metric: euclidean, score: -0.38257457461458305, n_labels: 50, artist_density: 0.5177557191279564, album_density: 0.7778595329125203
eps: 0.95, min_samples: 10, metric: euclidean, score: -0.34713884595745437, n_labels: 47, artist_density: 0.5237030245622863, album_density: 0.7665494075904116
eps: 0.96, min_samples: 10, metric: euclidean, score: -0.3034549073165006, n_labels: 36, artist_density: 0.5218800498629319, album_density: 0.7716804468028178
eps: 0.97, min_samples: 10, metric: euclidean, score: -0.29942522426347196, n_labels: 41, artist_density: 0.5343032302791587, album_density: 0.7660527726416062
eps: 0.98, min_samples: 10, metric: euclidean, score: -0.28725920170418473, n_labels: 38, artist_density: 0.568217104734375, album_density: 0.7960513805728048
eps: 0.99, min_samples: 10, metric: euclidean, score: -0.28566741053401273, n_labels: 37, artist_density: 0.5572965316505177, album_density: 0.7749177506079646
eps: 1.0, min_samples: 10, metric: euclidean, score: -0.2883299264918327, n_labels: 40, artist_density: 0.5778684881316275, album_density: 0.781528674657366
eps: 1.01, min_samples: 10, metric: euclidean, score: -0.30299609801854616, n_labels: 47, artist_density: 0.5554666144331224, album_density: 0.7881904008262949
eps: 1.02, min_samples: 10, metric: euclidean, score: -0.3358929663376695, n_labels: 43, artist_density: 0.5373873820889074, album_density: 0.7905849259079983
eps: 1.03, min_samples: 10, metric: euclidean, score: -0.32088766874147584, n_labels: 38, artist_density: 0.5324888557134954, album_density: 0.7934503930889378
eps: 1.04, min_samples: 10, metric: euclidean, score: -0.319609271510381, n_labels: 41, artist_density: 0.5319756785583265, album_density: 0.8022564161339896
eps: 1.05, min_samples: 10, metric: euclidean, score: -0.3099267372409909, n_labels: 38, artist_density: 0.49385630994272517, album_density: 0.7990517382156825
